,Date,ticker,Open,Price,Volume,Daily PnL,Cumulative PnL
0,2019-07-31,AAPL,54.10499954223633,51.40107345581055,277125600,,
1,2019-08-01,AAPL,53.474998474121094,50.28880310058594,216071600,-111.22703552246094,-111.22703552246094
2,2019-08-02,AAPL,51.38249969482422,49.22478485107422,163448400,-106.40182495117188,-217.6288604736328
3,2019-08-05,AAPL,49.497501373291016,46.647972106933594,209572000,-257.6812744140625,-475.3101348876953
4,2019-08-06,AAPL,49.07749938964844,47.531028747558594,143299200,88.3056640625,-387.0044708251953
5,2019-08-07,AAPL,48.852500915527344,48.023231506347656,133457600,49.22027587890625,-337.78419494628906
6,2019-08-08,AAPL,50.04999923706055,49.082427978515625,108038000,105.91964721679688,-231.8645477294922
7,2019-08-09,AAPL,50.32500076293945,48.677978515625,98478800,-40.4449462890625,-272.3094940185547
8,2019-08-12,AAPL,49.904998779296875,48.554447174072266,89927600,-12.353134155273438,-284.6626281738281
9,2019-08-13,AAPL,50.255001068115234,50.61065673828125,188874000,205.62095642089844,-79.04167175292969
10,2019-08-14,AAPL,50.790000915527344,49.10422134399414,146189600,-150.64353942871094,-229.68521118164062
11,2019-08-15,AAPL,50.8650016784668,48.85961151123047,108909600,-24.460983276367188,-254.1461944580078
12,2019-08-16,AAPL,51.06999969482422,50.01244354248047,110481600,115.283203125,-138.8629913330078
13,2019-08-19,AAPL,52.654998779296875,50.94487762451172,97654400,93.243408203125,-45.61958312988281
14,2019-08-20,AAPL,52.720001220703125,50.94729232788086,107537200,0.2414703369140625,-45.37811279296875
15,2019-08-21,AAPL,53.247501373291016,51.4995002746582,86141600,55.220794677734375,9.842681884765625
16,2019-08-22,AAPL,53.29750061035156,51.45590591430664,89014800,-4.35943603515625,5.483245849609375
17,2019-08-23,AAPL,52.35749816894531,49.07759094238281,187272000,-237.8314971923828,-232.34825134277344
18,2019-08-26,AAPL,51.46500015258789,50.01002502441406,104174400,93.243408203125,-139.10484313964844
19,2019-08-27,AAPL,51.96500015258789,49.44572448730469,103493200,-56.4300537109375,-195.53489685058594
20,2019-08-28,AAPL,51.025001525878906,49.77750778198242,63755200,33.17832946777344,-162.3565673828125
21,2019-08-29,AAPL,52.125,50.62034225463867,83962000,84.283447265625,-78.0731201171875
22,2019-08-30,AAPL,52.540000915527344,50.55495071411133,84573600,-6.539154052734375,-84.61227416992188
